State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Tripura,"North Tripura",Dasda,Brinjal,Round/Long,FAQ,13/08/2025,1800,2000,1900
"Uttar Pradesh",Bulandshahar,Gulavati,Colacasia,Other,FAQ,13/08/2025,1200,1400,1300
"Uttar Pradesh",Bulandshahar,Gulavati,"Sponge gourd",Other,FAQ,13/08/2025,1300,1500,1400
"Uttar Pradesh","Khiri (Lakhimpur)",Maigalganj,Apple,"Kasmir/Shimla - II",Medium,13/08/2025,8140,8220,8180
"Uttar Pradesh","Khiri (Lakhimpur)",Maigalganj,Brinjal,Other,FAQ,13/08/2025,1825,1875,1850
"Uttar Pradesh","Khiri (Lakhimpur)",Maigalganj,Pumpkin,Pumpkin,FAQ,13/08/2025,1600,1695,1650
"Uttar Pradesh",Mau(Maunathbhanjan),Kopaganj,"Bhindi(Ladies Finger)",Bhindi,FAQ,13/08/2025,900,1100,1000
"Uttar Pradesh",Mau(Maunathbhanjan),Kopaganj,"Bottle gourd","Bottle Gourd",FAQ,13/08/2025,1000,1200,1100
"Uttar Pradesh",Mau(Maunathbhanjan),Kopaganj,Cauliflower,Cauliflower,FAQ,13/08/2025,1000,1300,1200
"Uttar Pradesh",Mau(Maunathbhanjan),Kopaganj,Tomato,Hybrid,FAQ,13/08/2025,2000,2200,2100
"Uttar Pradesh",Meerut,Sardhana,"Banana - Green","Banana - Green",FAQ,13/08/2025,1000,1125,1100
Uttrakhand,Dehradoon,Vikasnagar,"Bottle gourd",Other,FAQ,13/08/2025,500,1200,1200
Uttrakhand,Dehradoon,Vikasnagar,Cauliflower,Other,FAQ,13/08/2025,600,1200,1200
Uttrakhand,Dehradoon,Vikasnagar,"Green Chilli",Other,FAQ,13/08/2025,1200,1500,1500
Uttrakhand,Dehradoon,Vikasnagar,"Jack Fruit",Other,Medium,13/08/2025,900,1500,1500
Uttrakhand,Dehradoon,Vikasnagar,"Sponge gourd",Other,FAQ,13/08/2025,1000,1200,1200
Gujarat,Bharuch,Ankleshwar,"Bhindi(Ladies Finger)",Bhindi,FAQ,13/08/2025,1500,2000,1800
